key,prompt,f_save,is_closeup,negative_prompt,style_prompt
['creatures'],"The Sunstalker: A large, feline creature with bright, golden fur and piercing green eyes. Sunstalkers are revered by many of the people of Aurora Dominion, who believe that they are messengers of the sun and bring good luck and prosperity to those who encounter them.",results/images/Aurora_Dominion/000010.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['creatures'],"The Frostbite: A large, reptilian creature with icy blue scales and razor-sharp teeth. Frostbites are often hunted by the Scaleborn for their meat and hides, but they are also feared for their ferocity in battle.",results/images/Aurora_Dominion/000011.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['creatures'],"The Crystalweaver: A small, spider-like creature with a body made entirely of glittering crystals. Crystalweavers are often captured and used as living decorations, and their webs are highly prized for their beauty and strength.",results/images/Aurora_Dominion/000012.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['creatures'],"The Stormbringer: A bird-like creature with wings made of crackling lightning. Stormbringers are often seen as omens of impending storms or other natural disasters, and some people believe that they have the power to control the weather.",results/images/Aurora_Dominion/000013.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['creatures'],"The Shadowstalker: A large, cat-like creature with black fur and glowing red eyes. Shadowstalkers are often associated with the Wraiths, who are said to use them as mounts when traveling through the shadowy realms.",results/images/Aurora_Dominion/000014.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Unseen Watcher: A deity shrouded in mystery and secrecy, said to watch over the world and intervene only when necessary.",results/images/Aurora_Dominion/000015.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Endless Storm: A deity associated with the powerful storms that rage across the oceans of Aurora Dominion, worshipped by sailors and fishermen seeking safe passage.",results/images/Aurora_Dominion/000016.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Burning Sun: A deity associated with fire and light, worshipped by blacksmiths and artisans seeking inspiration and creativity.",results/images/Aurora_Dominion/000017.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Whispering Wind: A deity associated with the winds that blow across the archipelago, worshipped by travelers seeking guidance and direction.",results/images/Aurora_Dominion/000018.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Silent Sentinel: A deity associated with stone and earth, worshipped by those seeking strength and stability in their lives.",results/images/Aurora_Dominion/000019.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Shadowed One: A deity associated with darkness and secrets, worshipped by those who operate in the shadows and seek to keep their actions hidden.",results/images/Aurora_Dominion/000020.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Radiant One: A deity associated with light and healing, worshipped by those seeking physical and spiritual health.",results/images/Aurora_Dominion/000021.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['deities'],"The Everlasting Flame: A deity associated with transformation and rebirth, worshipped by those seeking to change their lives or overcome obstacles.",results/images/Aurora_Dominion/000022.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Forgotten Citadel of the Unseen Watcher: An ancient fortress built into the side of a mountain, said to have been the home of the Unseen Watcher in ages past. It is now abandoned, and many believe it to be cursed.",results/images/Aurora_Dominion/000023.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Temple of the Endless Storm: A massive temple built on a rocky outcropping overlooking the sea, dedicated to the worship of the Endless Storm. It is said that the priests of the temple can call forth powerful storms to protect the faithful.",results/images/Aurora_Dominion/000024.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Ruins of the Burning Sun: A series of ancient ruins located in the heart of a volcanic region, said to be the site of a great battle between the Burning Sun and a powerful demon. The ruins are now home to dangerous creatures and powerful magical artifacts.",results/images/Aurora_Dominion/000025.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Whispering Woods: A dense forest filled with ancient trees, said to be the home of the Whispering Wind. The trees are said to whisper secrets to those who listen closely, and many seekers of knowledge and wisdom come to the woods to meditate and seek guidance.",results/images/Aurora_Dominion/000026.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Stonehenge of the Silent Sentinel: A circle of massive stones located on a windswept hilltop, said to be a place of power for the Silent Sentinel. The stones are believed to have been placed there by the stoneborn, and many believe that they hold powerful magical energy.",results/images/Aurora_Dominion/000027.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Shadowed Catacombs: A massive network of underground tunnels and catacombs, said to be the home of the Shadowed One. The catacombs are filled with traps and dangers, and many who have ventured inside have never returned.",results/images/Aurora_Dominion/000028.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['landmarks'],"The Radiant Fountain of the Everlasting Flame: A beautiful fountain located in the heart of a bustling city, said to be a gift from the Everlasting Flame to the people of the city. It is believed that the waters of the fountain have powerful healing properties, and many come to drink from its waters or to leave offerings to the deity.",results/images/Aurora_Dominion/000029.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Cult of the Endless Storm: This religion is devoted to the worship of the deity associated with storms and the oceans. The followers of this cult believe that the storms are a manifestation of their deity's power and that they bring good fortune to those who are able to weather them. The Scaleborn race is particularly devout in their worship of this deity, and they often make offerings and prayers to the Endless Storm before setting sail.",results/images/Aurora_Dominion/000030.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Church of the Burning Sun: This religion is devoted to the worship of the deity associated with fire and light. The followers of this church believe that fire and light are the source of all creation in Aurora Dominion and that their deity's power is responsible for the growth and prosperity of the world. The Flameborn race is particularly devout in their worship of this deity, and they often use their abilities to create beautiful works of art and architecture that are dedicated to the Burning Sun.",results/images/Aurora_Dominion/000031.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Order of the Unseen Watcher: This religious order is devoted to the worship of the deity associated with mystery and secrecy. The followers of this order believe that their deity watches over the world and intervenes only when necessary, and they seek to emulate this behavior by keeping their own actions hidden from others. The Wraiths race is particularly devout in their worship of this deity, and they often serve as spies and assassins for those who seek to maintain secrecy and control.",results/images/Aurora_Dominion/000032.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Cult of the Whispering Wind: This religion is devoted to the worship of the deity associated with the winds that blow across the archipelago. The followers of this cult believe that the winds carry messages from their deity and that they can be interpreted to provide guidance and direction in life. The Skyborn race is particularly devout in their worship of this deity, and they often seek to harness the power of the winds to propel their airships and other vehicles.",results/images/Aurora_Dominion/000033.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Church of the Silent Sentinel: This religion is devoted to the worship of the deity associated with stone and earth. The followers of this church believe that strength and stability are the key to success in life, and they seek to embody these qualities in their behavior and actions. The Stoneborn race is particularly devout in their worship of this deity, and they often serve as bodyguards and defenders for those who seek protection and security.",results/images/Aurora_Dominion/000034.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Cult of the Shadowed One: This religion is devoted to the worship of the deity associated with darkness and secrets. The followers of this cult believe that the shadows hold great power and that their deity can provide them with the knowledge and skills needed to operate in the shadows effectively. The Shadowborn race is particularly devout in their worship of this deity, and they often serve as spies and assassins for those who seek to maintain secrecy and control.",results/images/Aurora_Dominion/000035.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Church of the Radiant One: This religion is devoted to the worship of the deity associated with light and healing. The followers of this church believe that their deity's power can heal both physical and spiritual wounds, and they seek to spread this healing power throughout Aurora Dominion. The Luminescent race is particularly devout in their worship of this deity, and they often serve as healers and spiritual guides for those in need.",results/images/Aurora_Dominion/000036.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['beliefs'],"The Order of the Everlasting Flame: This religious order is devoted to the worship of the deity associated with transformation and rebirth. The followers of this order believe that their deity's power can help them overcome obstacles and change their lives for the better. The Flameborn race is particularly devout in their worship of this deity, and they often seek to harness the power of fire to transform materials into new and useful forms.",results/images/Aurora_Dominion/000037.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'city_description']","Starhaven is a major city located on one of the largest islands in Aurora Dominion. It is built on the ruins of an ancient civilization, and the city's architecture reflects a blend of new and old designs. The city is known for its diverse population, which includes Luminescents, Scaleborn, and Stoneborn. These races have coexisted in Starhaven for centuries, and the city has developed a unique culture that reflects the contributions of all three.

History:
Starhaven was founded over 500 years ago by a group of freeholders seeking to establish a new city on the ruins of a once-great civilization. The ancient civilization had been destroyed by a magical cataclysm, but many of its buildings and structures remained intact. The freeholders built their new city on top of these ruins, incorporating the old buildings into their new designs. Over time, the city grew and prospered, becoming a major center of trade and culture in Aurora Dominion.

Arts and Culture:
Starhaven is known for its vibrant arts scene, with many theaters, galleries, and performance spaces scattered throughout the city. The Luminescent population is particularly well-known for their music, with many famous musicians and composers hailing from Starhaven. The city also has a thriving literary scene, with many writers and poets living and working in the city.

The city's architecture is a blend of new and old styles, with many buildings incorporating elements of the ancient civilization that once stood on the same ground. The city's skyline is dominated by tall, ornate towers that house the homes and businesses of the city's wealthy elites.

Major Events:
Starhaven is home to several major events throughout the year, including a grand festival that takes place each summer. The festival is a celebration of the city's diverse population and features music, dance, and other cultural events from all three races. The festival culminates in a grand parade that winds its way through the city, featuring elaborate floats and costumes.

Geopolitics:
Starhaven is a major center of trade and commerce in Aurora Dominion, and as such, it is often the site of intense political maneuvering. The city is governed by a council of representatives from each of the city's major races, and many powerful factions vie for control over the council. The city is also home to several powerful gangs and criminal organizations, which often clash with one another in the city's streets.

Fanatical Religious Sects:
Starhaven is also home to several fanatical religious sects, which are often at odds with the city's more moderate population. These sects preach a strict interpretation of their faith, and often advocate for the use of violence to achieve their goals. The city's Luminescent population in particular has been targeted by these sects, with many Luminescents facing harassment and even physical violence.

Overall, Starhaven is a vibrant and diverse city that reflects the unique blend of cultures and races that define Aurora Dominion. While it is not without its problems, the city's history, arts, and culture continue to make it a major center of life in the world.",results/images/Aurora_Dominion/000038.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The Great Cataclysm: A magical disaster that destroyed the ancient civilization on which Starhaven was built, leaving behind ruins and artifacts that still hold great power. This event is often cited by fanatical religious sects as evidence of the dangers of magic, and has been the subject of much study and speculation by scholars like Kaela Brightwing.",results/images/Aurora_Dominion/000039.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The War of the Freeholders: A conflict between the city's founding freeholders and the powerful gangs that had come to dominate the city. Thorne Blackstone's ancestors played a major role in this conflict, using their skills as assassins to help the freeholders defeat their enemies. The war ended with the establishment of the city council, which was meant to represent the interests of all three of the city's major races.",results/images/Aurora_Dominion/000040.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The Ascension of Sister Aria: The rise to power of the fanatical Luminescent priestess Sister Aria, who has gained a large following among the city's more extreme religious sects. Eira Frostheart has been vocal in her opposition to Sister Aria's teachings, while Tyrell Stonefist has been hired by the city council to keep the peace during the priestess's rallies.",results/images/Aurora_Dominion/000041.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The Storm of the Century: A magical weather event that wreaked havoc on the city, causing widespread flooding and destruction. Gaius Ironheart's inventions were instrumental in helping the city recover from the storm, while Sylas Reefborn's knowledge of the seas was put to the test as he led rescue and recovery efforts.",results/images/Aurora_Dominion/000042.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The Great Heist: A daring robbery of one of the city's most heavily guarded vaults, which was carried out by a team of skilled thieves led by Captain Rourke. The heist was a major embarrassment to the city council and the city's security forces, and Thorne Blackstone was hired to track down the perpetrators.",results/images/Aurora_Dominion/000043.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The Luminescent Rebellion: A violent uprising by a group of Luminescent radicals who sought to overthrow the city council and establish a new Luminescent-dominated government. The rebellion was eventually put down by a coalition of Scaleborn and Stoneborn forces, led by Sylas Reefborn and Tyrell Stonefist.",results/images/Aurora_Dominion/000044.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'lore']","The Gang Wars: A series of bloody conflicts between the city's major gangs, which have been vying for control over the city's criminal underworld. Kaela Brightwing has been hired by the city council to investigate the gangs and find a way to bring peace to the streets, while Thorne Blackstone has been hired by one of the gangs to protect their interests.",results/images/Aurora_Dominion/000045.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
"['cities', 'Starhaven', 'residents', 'Kaela Brightwing']","Kaela Brightwing is a striking figure in the city of Starhaven, with a tall, lean frame that speaks to her years of adventure and exploration. Her skin is a deep bronze color, a testament to the many hours she has spent beneath the sun and the stars. Her eyes are a bright, piercing blue, always scanning her surroundings with a keen gaze that misses nothing.

Kaela's hair is a riot of wild, untamed curls that cascade down her back in a mess of sun-kissed waves. She often wears it pulled back in a loose ponytail, or left to fly free in the wind as she soars through the skies on her airship. Her clothing is functional and practical, with sturdy boots, sturdy trousers, and a leather aviator's jacket that is covered in patches from her many travels.

Despite her rough-and-tumble appearance, Kaela still manages to exude a certain amount of grace and elegance. Her movements are fluid and precise, whether she is scaling a cliff face or dancing at a raucous tavern. She carries herself with a confident, almost regal bearing, and is not above using her charisma and charm to get what she wants.

Kaela's airship is a thing of beauty, a sleek and powerful vessel that cuts through the sky with ease. It is adorned with all manner of gadgets and gizmos, from a powerful telescope mounted on the bow to a state-of-the-art navigation system in the cockpit. Kaela is fiercely protective of her airship, and will go to great lengths to keep it in top condition.

Overall, Kaela Brightwing is a force to be reckoned with in the city of Starhaven, a woman who has seen and done things that most can only dream of. Her love of adventure and her fearless spirit have made her a legend among the people of Aurora Dominion, and her restless soul is always seeking out new wonders to discover and explore.",results/images/Aurora_Dominion/000046.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
